Angle,Intensity
10.0042,17
10.0125,24
10.0209,22
10.0292,13
10.0376,18
10.046,17
10.0543,20
10.0627,22
10.071,14
10.0794,30
10.0877,18
10.0961,15
10.1044,28
10.1128,13
10.1212,23
10.1295,23
10.1379,28
10.1462,14
10.1546,20
10.1629,21
10.1713,18
10.1796,14
10.188,15
10.1964,24
10.2047,20
10.2131,22
10.2214,23
10.2298,18
10.2381,29
10.2465,22
10.2548,21
10.2632,26
10.2716,13
10.2799,22
10.2883,21
10.2966,21
10.305,20
10.3133,18
10.3217,26
10.33,23
10.3384,16
10.3468,21
10.3551,24
10.3635,29
10.3718,24
10.3802,15
10.3885,22
10.3969,21
10.4052,16
10.4136,15
10.422,18
10.4303,26
10.4387,16
10.447,15
10.4554,18
10.4637,22
10.4721,26
10.4804,22
10.4888,23
10.4972,15
10.5055,17
10.5139,9
10.5222,14
10.5306,28
10.5389,26
10.5473,23
10.5556,11
10.564,17
10.5724,16
10.5807,10
10.5891,11
10.5974,24
10.6058,20
10.6141,18
10.6225,22
10.6309,17
10.6392,18
10.6476,22
10.6559,22
10.6643,16
10.6726,14
10.681,23
10.6893,22
10.6977,15
10.7061,22
10.7144,17
10.7228,22
10.7311,20
10.7395,16
10.7478,17
10.7562,20
10.7645,23
10.7729,17
10.7813,16
10.7896,20
10.798,14
10.8063,15
10.8147,16
10.823,20
10.8314,22
10.8397,17
10.8481,15
10.8565,17
10.8648,15
10.8732,21
10.8815,14
10.8899,20
10.8982,27
10.9066,22
10.9149,26
10.9233,17
10.9317,28
10.94,16
10.9484,13
10.9567,16
10.9651,20
10.9734,20
10.9818,18
10.9901,26
10.9985,18
11.0069,20
11.0152,28
11.0236,24
11.0319,18
11.0403,15
11.0486,15
11.057,21
11.0653,23
11.0737,14
11.0821,10
11.0904,20
11.0988,21
11.1071,17
11.1155,26
11.1238,18
11.1322,9
11.1405,18
11.1489,24
11.1573,18
11.1656,22
11.174,24
11.1823,15
11.1907,27
11.199,18
11.2074,28
11.2157,20
11.2241,16
11.2325,21
11.2408,23
11.2492,14
11.2575,13
11.2659,15
11.2742,18
11.2826,13
11.2909,28
11.2993,15
11.3077,14
11.316,22
11.3244,16
11.3327,22
11.3411,15
11.3494,21
11.3578,20
11.3661,18
11.3745,17
11.3829,18
11.3912,15
11.3996,14
11.4079,17
11.4163,22
11.4246,18
11.433,11
11.4413,28
11.4497,18
11.4581,23
11.4664,23
11.4748,27
11.4831,11
11.4915,17
11.4998,18
11.5082,14
11.5165,16
11.5249,17
11.5333,18
11.5416,24
11.55,21
11.5583,14
11.5667,20
11.575,22
11.5834,22
11.5917,24
11.6001,24
11.6085,21
11.6168,22
11.6252,21
11.6335,29
11.6419,17
11.6502,23
11.6586,23
11.6669,27
11.6753,30
11.6837,24
11.692,16
11.7004,27
11.7087,23
11.7171,23
11.7254,17
11.7338,18
11.7421,18
11.7505,20
11.7589,21
11.7672,17
11.7756,21
11.7839,18
11.7923,22
11.8006,18
11.809,18
11.8174,21
11.8257,22
11.8341,28
11.8424,18
11.8508,23
11.8591,20
11.8675,27
11.8758,21
11.8842,39
11.8926,29
11.9009,18
11.9093,22
11.9176,21
11.926,24
11.9343,16
11.9427,27
11.951,17
11.9594,21
11.9678,20
11.9761,24
11.9845,26
11.9928,34
12.0012,20
12.0095,17
12.0179,21
12.0262,26
12.0346,24
12.043,26
12.0513,30
12.0597,18
12.068,21
12.0764,28
12.0847,20
12.0931,30
12.1014,22
12.1098,34
12.1182,14
12.1265,31
12.1349,17
12.1432,21
12.1516,24
12.1599,33
12.1683,23
12.1766,14
12.185,20
12.1934,27
12.2017,17
12.2101,13
12.2184,16
