Angle,Intensity
10.0021,88
10.0063,86
10.0104,81
10.0146,82
10.0188,91
10.023,103
10.0272,89
10.0313,77
10.0355,97
10.0397,102
10.0439,111
10.048,92
10.0522,87
10.0564,92
10.0606,89
10.0648,84
10.0689,90
10.0731,86
10.0773,79
10.0815,84
10.0856,90
10.0898,79
10.094,76
10.0982,100
10.1024,102
10.1065,84
10.1107,75
10.1149,89
10.1191,90
10.1232,84
10.1274,77
10.1316,98
10.1358,91
10.14,90
10.1441,74
10.1483,89
10.1525,90
10.1567,99
10.1608,90
10.165,90
10.1692,102
10.1734,100
10.1776,79
10.1817,89
10.1859,94
10.1901,104
10.1943,94
10.1984,93
10.2026,98
10.2068,111
10.211,78
10.2152,98
10.2193,101
10.2235,90
10.2277,98
10.2319,79
10.236,84
10.2402,89
10.2444,90
10.2486,75
10.2528,96
10.2569,85
10.2611,80
10.2653,93
10.2695,78
10.2736,86
10.2778,73
10.282,87
10.2862,96
10.2904,69
10.2945,101
10.2987,97
10.3029,86
10.3071,85
10.3112,91
10.3154,98
10.3196,79
10.3238,87
10.328,90
10.3321,103
10.3363,97
10.3405,102
10.3447,84
10.3488,108
10.353,100
10.3572,86
10.3614,88
10.3656,91
10.3697,72
10.3739,88
10.3781,69
10.3823,92
10.3864,90
10.3906,81
10.3948,102
10.399,96
10.4032,101
10.4073,89
10.4115,81
10.4157,91
10.4199,86
10.424,92
10.4282,111
10.4324,86
10.4366,102
10.4408,63
10.4449,98
10.4491,77
10.4533,98
10.4575,102
10.4616,76
10.4658,74
10.47,103
10.4742,99
10.4784,93
10.4825,106
10.4867,93
10.4909,100
10.4951,77
10.4992,89
10.5034,94
10.5076,91
10.5118,82
10.516,91
10.5201,85
10.5243,90
10.5285,102
10.5327,88
10.5368,78
10.541,78
10.5452,86
10.5494,85
10.5536,79
10.5577,94
10.5619,85
10.5661,93
10.5703,76
10.5744,102
10.5786,94
10.5828,86
10.587,85
10.5912,91
10.5953,99
10.5995,82
10.6037,103
10.6079,91
10.6121,91
10.6162,93
10.6204,101
10.6246,87
10.6288,76
10.6329,102
10.6371,96
10.6413,97
10.6455,100
10.6497,87
10.6538,102
10.658,94
10.6622,88
10.6664,74
10.6705,85
10.6747,87
10.6789,94
10.6831,79
10.6873,100
10.6914,100
10.6956,85
10.6998,108
10.704,84
10.7081,89
10.7123,80
10.7165,77
10.7207,82
10.7249,89
10.729,99
10.7332,94
10.7374,98
10.7416,110
10.7457,89
10.7499,81
10.7541,75
10.7583,87
10.7625,110
10.7666,80
10.7708,90
10.775,92
10.7792,62
10.7833,84
10.7875,87
10.7917,90
10.7959,67
10.8001,86
10.8042,72
10.8084,98
10.8126,92
10.8168,82
10.8209,104
10.8251,81
10.8293,91
10.8335,97
10.8377,89
10.8418,80
10.846,85
10.8502,88
10.8544,89
10.8585,114
10.8627,84
10.8669,92
10.8711,76
10.8753,68
10.8794,97
10.8836,78
10.8878,92
10.892,113
10.8961,63
10.9003,99
10.9045,75
10.9087,86
10.9129,78
10.917,87
10.9212,93
10.9254,87
10.9296,96
10.9337,90
10.9379,85
10.9421,79
10.9463,79
10.9505,89
10.9546,79
10.9588,85
10.963,75
10.9672,88
10.9713,92
10.9755,77
10.9797,80
10.9839,80
10.9881,73
10.9922,108
10.9964,89
11.0006,74
11.0048,70
11.0089,77
11.0131,108
11.0173,98
