[Measurement conditions]
Sample identification,CET
Comment - 1,"CET"
Comment - 2,"Configuration=MPSS New Configuration, Owner=User-1, Creation date=10/27/2010 9:00:11 AM"
Comment - 3,"Goniometer=PW3050/60 (Theta/Theta); Minimum step size 2Theta:0.001; Minimum step size Omega:0.001"
Comment - 4,"Sample stage=Multi purpose sample stage; Minimum step size Phi:2.5"
Comment - 5,"Diffractometer system=XPERT-PRO"
Comment - 6,"Measurement program=C:\PANalytical\Data Collector\Programs\ahansen\Ti Quick Scan.xrdmp, Identifier={1EDA9E56-6CAC-4C10-A94C-4527EDCC5A5B}"
Comment - 7,"PHD Lower Level = 6.04 (keV), PHD Upper Level = 12.80 (keV)"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.109
Receiving slit,0.10
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,23/Jun/2021 13:12
Unit cell,
h k l, 0 0 0
Temperature [K],298
Scan axis,Gonio
Scan range,10.0000,150.0000
Scan step size,0.0080000
No. of points, 17500
Scan type,CONTINUOUS
Time per step,3.810
[Scan points]
Angle,Intensity
10.0040,0.0
10.0120,-4.0
10.0200,-5.0
10.0280,-4.0
10.0360,-2.0
10.0440,-7.0
10.0520,5.0
10.0600,-9.0
10.0680,7.0
10.0760,6.0
10.0840,-2.0
10.0920,7.0
10.1000,7.0
10.1080,2.0
10.1160,1.0
10.1240,-2.0
10.1320,-2.0
10.1400,-5.0
10.1480,1.0
10.1560,-2.0
10.1640,-3.0
10.1720,-14.0
10.1800,-9.0
10.1880,-9.0
10.1960,-8.0
10.2040,-1.0
10.2120,-2.0
10.2200,-12.0
10.2280,1.0
10.2360,-1.0
10.2440,-9.0
10.2520,-21.0
10.2600,-23.0
10.2680,-11.0
10.2760,-3.0
10.2840,-5.0
10.2920,-8.0
10.3000,-8.0
10.3080,-10.0
10.3160,-4.0
10.3240,1.0
10.3320,-10.0
10.3400,-2.0
10.3480,3.0
10.3560,-13.0
10.3640,-8.0
10.3720,-4.0
10.3800,-15.0
10.3880,-2.0
10.3960,6.0
10.4040,-13.0
10.4120,2.0
10.4200,-8.0
10.4280,-7.0
10.4360,-8.0
10.4440,-9.0
10.4520,-11.0
10.4600,0.0
10.4680,-3.0
10.4760,-13.0
10.4840,-9.0
10.4920,-13.0
10.5000,-21.0
10.5080,-12.0
10.5160,-7.0
10.5240,-7.0
10.5320,-7.0
10.5400,-13.0
10.5480,-7.0
10.5560,-13.0
10.5640,-10.0
10.5720,-9.0
10.5800,-17.0
10.5880,-23.0
10.5960,-20.0
10.6040,-2.0
10.6120,-10.0
10.6200,-3.0
10.6280,-2.0
10.6360,3.0
10.6440,7.0
10.6520,2.0
10.6600,-9.0
10.6680,-18.0
10.6760,-18.0
10.6840,-14.0
10.6920,-9.0
10.7000,-12.0
10.7080,-12.0
10.7160,-6.0
10.7240,-9.0
10.7320,-4.0
10.7400,-3.0
10.7480,4.0
10.7560,-4.0
10.7640,-13.0
10.7720,-24.0
10.7800,-11.0
10.7880,4.0
10.7960,-8.0
10.8040,-9.0
10.8120,1.0
10.8200,3.0
10.8280,-2.0
10.8360,-4.0
10.8440,-12.0
10.8520,-12.0
10.8600,-7.0
10.8680,-5.0
10.8760,-1.0
10.8840,-8.0
10.8920,-14.0
10.9000,-12.0
10.9080,7.0
10.9160,0.0
10.9240,-14.0
10.9320,-19.0
10.9400,2.0
10.9480,4.0
10.9560,7.0
10.9640,1.0
10.9720,-22.0
10.9800,-4.0
10.9880,-12.0
10.9960,-12.0
11.0040,-13.0
11.0120,-9.0
11.0200,-6.0
11.0280,4.0
11.0360,6.0
11.0440,-2.0
11.0520,-5.0
11.0600,-7.0
11.0680,-4.0
11.0760,-3.0
11.0840,-15.0
11.0920,-11.0
11.1000,-3.0
11.1080,-7.0
11.1160,-18.0
11.1240,-14.0
11.1320,-8.0
11.1400,-4.0
11.1480,-11.0
11.1560,-6.0
11.1640,-9.0
11.1720,-12.0
11.1800,-2.0
11.1880,-6.0
11.1960,-8.0
11.2040,-9.0
11.2120,-11.0
11.2200,-9.0
11.2280,-4.0
11.2360,-7.0
11.2440,-15.0
11.2520,-10.0
11.2600,0.0
11.2680,0.0
11.2760,-16.0
11.2840,-7.0
11.2920,-13.0
11.3000,-11.0
11.3080,2.0
11.3160,-4.0
11.3240,1.0
11.3320,-9.0
11.3400,-8.0
11.3480,0.0
11.3560,-13.0
11.3640,-13.0
11.3720,-12.0
11.3800,-11.0
11.3880,-11.0
11.3960,-3.0
11.4040,3.0
11.4120,-6.0
11.4200,-7.0
11.4280,-3.0
11.4360,-2.0
11.4440,3.0
11.4520,-5.0
11.4600,0.0
11.4680,3.0
11.4760,-16.0
11.4840,-19.0
11.4920,3.0
11.5000,-6.0
11.5080,-4.0
11.5160,3.0
11.5240,-3.0
11.5320,2.0
11.5400,0.0
11.5480,3.0
11.5560,3.0
11.5640,3.0
11.5720,-1.0
11.5800,-6.0
11.5880,2.0
11.5960,9.0
11.6040,-2.0
11.6120,-4.0
11.6200,8.0
11.6280,4.0
11.6360,0.0
11.6440,7.0
11.6520,-4.0
11.6600,-8.0
11.6680,-1.0
11.6760,-3.0
11.6840,-2.0
11.6920,-5.0
11.7000,-1.0
11.7080,-7.0
11.7160,0.0
11.7240,-4.0
11.7320,-5.0
11.7400,-2.0
11.7480,1.0
11.7560,-8.0
11.7640,-1.0
11.7720,-5.0
11.7800,3.0
11.7880,12.0
11.7960,4.0
11.8040,1.0
11.8120,6.0
11.8200,17.0
11.8280,17.0
11.8360,-5.0
11.8440,-1.0
11.8520,-2.0
11.8600,9.0
11.8680,6.0
11.8760,-1.0
11.8840,2.0
11.8920,-6.0
11.9000,-8.0
11.9080,-4.0
11.9160,-2.0
11.9240,-8.0
11.9320,4.0
11.9400,3.0
11.9480,7.0
11.9560,10.0
11.9640,7.0
11.9720,7.0
11.9800,4.0
11.9880,0.0
11.9960,2.0
12.0040,-4.0
12.0120,-10.0
12.0200,1.0
12.0280,3.0
12.0360,3.0
12.0440,-4.0
12.0520,2.0
12.0600,-3.0
12.0680,3.0
12.0760,9.0
12.0840,4.0
12.0920,-3.0
12.1000,1.0
12.1080,-6.0
12.1160,-1.0
12.1240,-2.0
12.1320,-4.0
12.1400,-7.0
12.1480,-8.0
12.1560,-1.0
12.1640,6.0
12.1720,1.0
12.1800,-1.0
12.1880,4.0
12.1960,5.0
12.2040,2.0
12.2120,2.0
12.2200,11.0
12.2280,1.0
12.2360,-3.0
12.2440,0.0
12.2520,5.0
12.2600,-2.0
12.2680,-16.0
12.2760,-10.0
12.2840,7.0
12.2920,-3.0
12.3000,5.0
12.3080,0.0
12.3160,-6.0
12.3240,-6.0
12.3320,9.0
12.3400,8.0
12.3480,-4.0
12.3560,-10.0
12.3640,-6.0
12.3720,5.0
12.3800,5.0
12.3880,-6.0
12.3960,0.0
12.4040,7.0
12.4120,3.0
12.4200,-6.0
12.4280,12.0
12.4360,-8.0
12.4440,-12.0
12.4520,-20.0
